area,year,pop,15_64,in_mig,out_mig,inc,emp,jun_high,sen_high,jun_col,sen_col,lf_tot,lf_m,lf_f,unemp,prim_emp,sec_emp,ter_emp
18210,2000,"91,173","58,274",-,-,"131,522,897",***,"20,491","34,430","6,918","7,574","50,989","28,383","22,606","1,487","2,865","18,857","27,718"
18322,2000,"21,182","13,653",-,-,"28,427,444",***,"5,171","7,150","1,465","1,963","11,440","6,376","5,064",295,410,"3,731","6,998"
18382,2000,"3,759","1,918",66,88,"4,673,748",***,"1,560","1,077",208,195,"2,018","1,126",892,33,256,916,812
18404,2000,"13,221","7,750",-,-,"18,018,705",***,"4,467","4,305",772,761,"7,029","4,018","3,011",154,506,"3,007","3,361"
18423,2000,"25,017","15,272",-,-,"32,774,984",***,"8,062","7,907","1,693","1,751","13,544","7,539","6,005",382,"1,055","5,674","6,431"
18442,2000,"11,630","7,138",327,448,"16,003,795",***,"4,076","3,811",763,710,"6,218","3,690","2,528",194,565,"1,708","3,751"
18481,2000,"12,119","7,323",476,585,"15,896,196",***,"3,397","4,496",850,716,"6,357","3,980","2,377",183,659,"2,080","3,434"
18483,2000,"9,983","6,077",-,-,"12,676,338",***,"3,004","3,662",647,639,"5,433","3,526","1,907",121,436,"1,868","3,008"
18501,2000,"17,313","9,978",-,-,"22,250,694",***,"5,612","5,981","1,152",967,"9,096","5,170","3,926",175,967,"2,957","4,994"
19201,2000,"201,710","134,628",-,-,"295,470,847",***,"31,583","75,732","21,488","25,487","105,112","62,506","42,606","5,000","3,082","28,744","67,580"
19202,2000,"54,090","35,635","1,795","2,162","68,994,009",***,"12,932","20,637","3,820","3,810","29,390","17,213","12,177","1,021",314,"12,251","15,737"
19204,2000,"35,513","23,665","1,342","1,690","41,144,956",***,"7,173","12,922","2,774","2,535","17,657","10,416","7,241",608,334,"7,478","9,205"
19205,2000,"39,797","24,783",-,-,"50,571,952",***,"8,414","14,644","4,451","3,730","21,789","12,526","9,263",745,"4,369","5,652","11,000"
19206,2000,"33,124","21,023",849,"1,291","43,561,678",***,"8,406","11,455","2,865","2,714","15,966","9,887","6,079",665,308,"6,145","8,810"
19207,2000,"32,707","21,013","1,398","1,480","43,373,442",***,"6,402","12,235","3,314","3,052","17,946","10,603","7,343",527,"2,239","6,947","8,206"
19208,2000,"70,116","45,303",-,-,"91,480,502",***,"13,442","27,141","6,782","5,575","39,038","22,942","16,096","1,341","5,045","14,667","17,946"
