"","","","","","A1101","A1302","A5101","A5102","C120110","C2207","E9102","E9103","E9105","E9106","F1101","F110101","F110102","F1107","F2201","F2211","F2221"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A1101_Total population[person]","A1302_Population 15-64 years old[person]","A5101_In-migrants from other prefectures[person]","A5102_Out-migrants to other prefectures[person]","C120110_Taxable income[thousand yen]","C2207_Number of employees[person]","E9102_People having completed elementary or junior high school only[person]","E9103_People having completed up to senior high school[person]","E9105_People having completed up to junior college or equivalent[person]","E9106_People having completed college and universities[person]","F1101_Labour force[person]","F110101_Labour force [male][person]","F110102_Labour force [female][person]","F1107_Unemployed persons[person]","F2201_Persons employed in the primary industry[person]","F2211_Persons employed in the secondary industry[person]","F2221_Persons employed in the tertiary industry[person]"
"2010100000","2010","01346","Hokkaido Yakumo-cho","","18,896","11,519","715","905","20,040,892","***","5,780","7,286","1,516","1,062","9,674","5,638","4,036","604","1,796","1,775","5,391"
"2010100000","2010","01347","Hokkaido Oshamambe-cho","","6,386","3,572","521","530","5,622,802","***","2,033","2,622","347","300","2,990","1,678","1,312","190","558","582","1,658"
"2010100000","2010","01361","Hokkaido Esashi-cho","","9,004","5,221","510","632","9,496,950","***","2,581","3,760","699","645","4,329","2,606","1,723","411","382","632","2,904"
"2010100000","2010","01362","Hokkaido Kaminokuni-cho","","5,428","2,962","153","229","4,636,399","***","2,296","1,518","289","172","2,424","1,322","1,102","183","404","615","1,217"
"2010100000","2010","01363","Hokkaido Assabu-cho","","4,409","2,393","135","184","4,434,242","***","1,625","1,606","306","263","2,288","1,300","988","126","737","348","1,077"
"2010100000","2010","01364","Hokkaido Otobe-cho","","4,408","2,397","115","185","3,523,607","***","1,512","1,723","303","168","2,051","1,204","847","201","279","565","1,003"
"2010100000","2010","01367","Hokkaido Okushiri-cho","","3,033","1,723","172","233","3,492,785","***","1,420","871","177","154","1,531","1,028","503","75","191","205","1,060"
"2010100000","2010","01370","Hokkaido Imakane-cho","","6,186","3,480","203","230","5,370,116","***","1,849","2,530","545","331","3,190","1,802","1,388","247","880","441","1,621"
"2010100000","2010","01371","Hokkaido Setana-cho","","9,590","4,961","283","345","7,698,675","***","3,393","3,782","672","444","4,591","2,661","1,930","247","1,120","755","2,466"
"2010100000","2010","01391","Hokkaido Shimamaki-mura","","1,781","926","57","83","1,389,832","***","872","554","72","62","814","504","310","33","206","156","418"
"2010100000","2010","01392","Hokkaido Suttsu-cho","","3,443","1,892","138","179","3,210,907","***","1,293","1,226","243","212","1,601","906","695","89","174","411","926"
"2010100000","2010","01393","Hokkaido Kuromatsunai-cho","","3,250","1,699","204","188","2,872,288","***","1,081","982","347","255","1,469","816","653","63","229","206","971"
"2010100000","2010","01394","Hokkaido Rankoshi-cho","","5,292","2,905","185","192","4,424,025","***","1,702","1,994","362","317","2,695","1,552","1,143","120","756","378","1,431"
"2010100000","2010","01395","Hokkaido Niseko-cho","","4,823","3,027","259","267","4,474,078","***","836","2,163","480","526","2,562","1,509","1,053","246","491","226","1,592"
"2010100000","2010","01396","Hokkaido Makkari-mura","","2,189","1,288","91","98","2,423,316","***","562","907","208","144","1,266","723","543","24","534","59","648"
"2010100000","2010","01397","Hokkaido Rusutsu-mura","","2,034","1,252","107","121","2,109,580","***","411","810","190","163","1,257","704","553","24","411","84","728"
"2010100000","2010","01398","Hokkaido Kimobetsu-cho","","2,490","1,452","124","162","2,076,692","***","640","1,135","237","179","1,370","802","568","53","298","189","830"
"2010100000","2010","01399","Hokkaido Kyogoku-cho","","3,811","2,267","132","118","3,543,716","***","1,166","1,524","295","296","2,129","1,385","744","53","356","703","1,016"
"2010100000","2010","01400","Hokkaido Kutchan-cho","","15,568","10,045","1,062","1,075","18,346,994","***","2,717","6,843","1,654","1,653","8,645","5,256","3,389","596","756","965","6,322"
"2010100000","2010","01401","Hokkaido Kyowa-cho","","6,428","3,814","257","309","7,454,663","***","1,480","2,884","487","441","3,480","2,178","1,302","180","938","588","1,762"
