educ,R1 - R400,r1,R401 - R800,r2,R801 - R1 600,r3,No income,r0,R1 601 - R3 200,r4,R3 201 - R6 400,r5,R6 401 - R12 800,r6,R12 801 - R25 600,r7,R25 601 - R51 200,r8,R51 201 - R102 400,r9,R102 401 - R204 800,r10,R204 801 or more,r11,Total,first,second,third,r_len,year,sex,color,state
Grade 12/Std 10,1145806,6.136363003,4152276,22.23751039,5583224,29.90095112,36397508,194.9268214,3968912,21.25550465,572903,3.068181502,2291612,12.27272601,1145806,6.136363003,1145806,6.136363003,4583224,24.54545201,1145806,6.136363003,1145806,6.136363003,18672396,7,14,25,10,2001,Male,Coloured,Free State
Higher,1145806,24.18629726,1,2.11E-05,1145806,24.18629726,2,4.22E-05,1145806,24.18629726,1145806,24.18629726,17349754,366.2280593,4291612,90.58968409,1145806,24.18629726,1145806,24.18629726,1145806,24.18629726,0,0,4737418,7,14,25,10,2001,Male,Coloured,Free State
No schooling,245432,0.19356747,1098462,0.866335728,23047391,18.17703139,41508864,32.73723798,458346,0.361488623,1349876,1.064621086,2283577,1.801013,1352902,1.067007633,122716,0.096783735,4871792,3.842288098,1154188,0.910285746,122716,0.096783735,126794032,7,14,25,7,2001,Male,Coloured,Gauteng
Some primary,2331385,1.417611256,13482079,8.197851039,5885965,3.578992846,51781475,31.48600588,3462564,2.105430764,590864,0.35927805,229173,0.139349882,1160361,0.705563781,1352902,0.822639377,1145865,0.696749409,245432,0.149236255,0,0,164458697,7,14,25,7,2001,Male,Coloured,Gauteng
Complete primary,4058706,7.698525234,10021055,19.00786723,787519,1.493760547,67839391,128.6772837,3429206,6.504494024,787519,1.493760547,229173,0.434693748,122716,0.232766853,1,1.90E-06,1145865,2.17346874,1154188,2.189255749,0,0,52720565,7,14,25,7,2001,Male,Coloured,Gauteng
Some secondary,38774036,9.03900072,62993562,14.68505503,60407421,14.08217401,750795792,175.0254656,204579502,47.69156004,94069784,21.92954185,3308376,0.771248395,1145865,0.267123973,345432,0.080527085,122716,0.028607546,2352902,0.548508359,1,2.33E-07,428963745,7,14,25,7,2001,Male,Coloured,Gauteng
Grade 12/Std 10,458346,0.157634454,31179566,10.72328295,26392101,9.076776972,79542593,27.35630545,341431638,117.4252413,173557878,59.6900622,87133674,29.96703164,7858412,2.702666721,4058706,1.395871028,1137712,0.391282152,1145865,0.394086134,1145865,0.394086134,290765115,7,14,25,7,2001,Male,Coloured,Gauteng
Higher,384328,0.132853777,5564375,1.923482643,22294482,7.706714439,329173,0.113787901,23462472,8.110463017,74430494,25.72899262,6011608,2.078081302,6058706,2.094362049,9865928,3.410435361,95071045,32.86397931,245432,0.08484047,345432,0.119408281,289286468,7,14,25,7,2001,Male,Coloured,Gauteng
No schooling,1263292,7.332409729,712322,4.134465162,472672,2.743486677,18018755,104.5846047,1107999,6.431056832,251511,1.459822197,1338407,7.768392825,151511,0.879401382,1338407,7.768392825,1220072,7.081551853,0,0,0,0,17228879,7,14,25,13,2001,Male,Coloured,KwaZulu-Natal
Some primary,421161,0.968433903,1418578,3.261933156,4625132,10.63520752,5433799,12.49468772,5614796,12.91087923,1338407,3.077584855,1107999,2.547775783,1338407,3.077584855,2,4.60E-06,0,0,0,0,0,0,43488874,7,14,25,13,2001,Male,Coloured,KwaZulu-Natal
Complete primary,2338407,6.32762421,4448798,12.03824738,757555,2.049909771,16259099,43.99639091,5353628,14.48667668,2676814,7.243338338,1107999,2.99819548,1338407,3.621669169,0,0,0,0,0,0,0,0,36955529,7,14,25,13,2001,Male,Coloured,KwaZulu-Natal
Some secondary,12225674,1.691591496,1666621,0.230600122,38848387,5.375212941,187393598,25.92850233,84628594,11.70953928,112282773,15.53587835,47677408,6.596830403,3463428,0.479213281,151511,0.020963647,1338407,0.185187164,1338407,0.185187164,151511,0.020963647,722732056,7,14,25,13,2001,Male,Coloured,KwaZulu-Natal
Grade 12/Std 10,9008758,1.423933527,36396899,5.752931179,7911857,1.250556231,20680141,3.268724293,142693685,22.55431018,10523868,1.663413368,6232808,0.985164024,151511,0.023947984,2853517,0.451029823,151511,0.023947984,1,1.58E-07,151511,0.023947984,632667033,7,14,25,13,2001,Male,Coloured,KwaZulu-Natal
Higher,151511,0.661561905,151511,0.661561905,403022,1.75976663,14228879,62.12937867,9014476,39.36106231,4015221,17.53217424,2446406,10.68205617,151511,0.661561905,303022,1.323123809,303022,1.323123809,454533,1.984685714,303022,1.323123809,22902014,7,14,25,13,2001,Male,Coloured,KwaZulu-Natal
No schooling,4822816,48.05169496,1061645,10.5776048,219568,2.187646089,4337198,43.21328354,1152263,11.48046913,4445783,44.29516045,0,0,0,0,0,0,0,0,0,0,0,0,10036724,7,14,25,7,2001,Male,Coloured,Limpopo
Some primary,1807228,87.65951461,4563671,221.360661,1152263,55.89046611,3347943,162.3918279,2411408,116.9652389,1061645,51.49504401,212329,10.2990088,0,0,0,0,0,0,0,0,0,0,2061645,7,14,25,7,2001,Male,Coloured,Limpopo
Complete primary,1,2.81E-05,109784,3.080643527,1061645,29.79076913,1152263,32.33359645,2411408,67.66640355,1061645,29.79076913,0,0,109784,3.080643527,0,0,0,0,0,0,0,0,3563671,7,14,25,7,2001,Male,Coloured,Limpopo
Some secondary,109784,0.82828775,212329,1.60195939,2411408,18.19335883,1807228,13.63499976,109784,0.82828775,3184935,24.02939085,109784,0.82828775,0,0,109784,0.82828775,0,0,0,0,0,0,13254331,7,14,25,7,2001,Male,Coloured,Limpopo
Grade 12/Std 10,1061645,47.95343799,1061645,47.95343799,3347943,151.2232216,209784,9.475732506,3262538,147.3655635,7677341,346.7777794,1137354,51.37313746,109784,4.958832978,2411408,108.9208766,209784,9.475732506,0,0,1,4.52E-05,2213908,7,14,25,7,2001,Male,Coloured,Limpopo
Higher,0,0,1152263,961.9506779,1164698,972.331864,1061645,886.2995058,109784,91.65163962,3509248,2929.646697,1,0.000834836,1,0.000834836,7657246,6392.544914,1,0.000834836,1,0.000834836,109784,91.65163962,119784,7,14,25,7,2001,Male,Coloured,Limpopo
No schooling,2971926,21.52508129,4096845,29.67265055,2357582,17.07550733,3933043,28.48626456,1137354,8.237633544,1178791,8.537753666,1178791,8.537753666,0,0,0,0,0,0,0,0,0,0,13806805,7,14,25,10,2001,Male,Coloured,Mpumalanga
Some primary,4614456,37.12256024,1178791,9.483184997,8576872,68.999563,11567682,93.06015095,1178791,9.483184997,1178791,9.483184997,1178791,9.483184997,0,0,1178791,9.483184997,0,0,0,0,0,0,12430328,7,14,25,10,2001,Male,Coloured,Mpumalanga
Complete primary,1178791,4.396982352,2125815,7.929455721,3494936,13.03638381,2357582,8.793964704,1178791,4.396982352,1178791,4.396982352,1,3.73E-06,0,0,1807228,6.741101367,0,0,0,0,0,0,26809091,7,14,25,10,2001,Male,Coloured,Mpumalanga
Some secondary,1137354,2.577417663,5893955,13.35660113,1098843,2.490145862,17991808,40.77218151,6840979,15.50270198,10251537,23.23154667,1178791,2.671320226,1178791,2.671320226,1178791,2.671320226,0,0,1178791,2.671320226,0,0,44127656,7,14,25,10,2001,Male,Coloured,Mpumalanga
Grade 12/Std 10,452228,2.871762775,2357582,14.9712451,2986019,18.96197982,10989872,69.78848129,2357582,14.9712451,1178791,7.485622548,7072746,44.91373529,2357582,14.9712451,1178791,7.485622548,1178791,7.485622548,1178791,7.485622548,0,0,15747401,7,14,25,10,2001,Male,Coloured,Mpumalanga
Higher,1152263,72.9838845,1098843,69.60028275,1,6.33E-05,4715164,298.6566303,1178791,74.66415757,3536373,223.9924727,5893955,373.3207879,5715164,361.9962364,1178791,74.66415757,1178791,74.66415757,1178791,74.66415757,1178791,74.66415757,1578791,7,14,25,10,2001,Male,Coloured,Mpumalanga
No schooling,10833032,19.53015838,13779952,24.84296595,1457152,2.627003165,12827878,23.12653457,3975672,7.167476644,1244872,2.244297564,1325224,2.389158881,2244872,4.047131561,1325224,2.389158881,0,0,1182424,2.131714186,0,0,55468224,7,14,25,10,2001,Male,Coloured,North West
Some primary,2639576,4.565406248,3946896,6.826544741,92621,0.160197127,60045126,103.8539498,2182424,3.774716911,1325224,2.292105221,3832872,6.62932902,1457152,2.52028767,1182424,2.045118579,0,0,0,0,0,0,57816892,7,14,25,10,2001,Male,Coloured,North West
Complete primary,6557518,76.68090634,6889976,80.56853284,1244872,14.55701887,19499957,228.024441,2489744,29.11403773,1182424,13.82677775,1325224,15.49662196,1325224,15.49662196,0,0,0,0,0,0,0,0,8551696,7,14,25,10,2001,Male,Coloured,North West
Some secondary,1,6.02E-07,1308556,0.787600832,12059344,7.25834383,30564238,18.3961705,16468821,9.912343929,17085112,10.28328052,1182424,0.711683815,2325224,1.399518521,2489744,1.498540717,1244872,0.749270358,0,0,0,0,166144568,7,14,25,10,2001,Male,Coloured,North West
Grade 12/Std 10,1182424,2.105480247,3547272,6.316440741,1,1.78E-06,1182424,2.105480247,21335512,37.99102443,11601792,20.65870101,2364848,4.210960494,1182424,2.105480247,1244872,2.216678117,1325224,2.359756699,0,0,1182424,2.105480247,56159349,7,14,25,10,2001,Male,Coloured,North West
Higher,1244872,5.28728654,1182424,5.022054074,2650448,11.25712365,1182424,5.022054074,2650448,11.25712365,1425224,6.053287142,2702024,11.47617998,1182424,5.022054074,1325224,5.628561826,2782376,11.81745527,1182424,5.022054074,0,0,23544629,7,14,25,10,2001,Male,Coloured,North West
No schooling,38938418,12.34565748,181945221,57.6868166,41584823,13.18471595,120424353,38.18125877,28519601,9.042309456,1,3.17E-07,1,3.17E-07,1106805,0.350919121,2,6.34E-07,1106805,0.350919121,1106805,0.350919121,0,0,315401736,7,14,25,13,2001,Male,Coloured,Northern Cape
Some primary,30492867,4.158419586,62392536,8.508689712,84719977,11.55356142,10688256,1.457595086,30972519,4.223831417,7003758,0.955127127,1106805,0.150938893,3790148,0.516875821,1182424,0.161251322,1106805,0.150938893,1,1.36E-07,1106805,0.150938893,733280189,7,14,25,13,2001,Male,Coloured,Northern Cape
Complete primary,38353192,58.85604211,51219768,78.60083255,44454112,68.21839204,20396567,31.30016417,19648346,30.15195918,10430978,16.00717042,1106805,1.698480838,9691445,14.87229785,221361,0.339696168,1106805,1.698480838,1106805,1.698480838,1106805,1.698480838,65164409,7,14,25,13,2001,Male,Coloured,Northern Cape
Some secondary,145621355,88.84016703,70578752,43.05843821,1865269,1.137956789,508056514,309.9533414,30274913,18.47001305,61900733,37.76418272,885444,0.540188579,1106805,0.675235724,1106805,0.675235724,1106805,0.675235724,1106805,0.675235724,1106805,0.675235724,163913869,7,14,25,13,2001,Male,Coloured,Northern Cape
Grade 12/Std 10,31655862,132.6083548,16440717,68.87117567,89951298,376.8115251,24610177,103.0935466,91113648,381.6806808,42160406,176.6125363,33831889,141.7238659,1106805,4.636474285,1106805,4.636474285,1106805,4.636474285,1106805,4.636474285,1106805,4.636474285,23871695,7,14,25,13,2001,Male,Coloured,Northern Cape
Higher,1106805,7.138854478,1,6.45E-06,1106805,7.138854478,25242905,162.8158758,1106805,7.138854478,221361,1.427770896,38679684,249.4826418,9747635,62.87191309,1106805,7.138854478,1,6.45E-06,221361,1.427770896,1111149,7.16687313,15503958,7,14,25,13,2001,Male,Coloured,Northern Cape
No schooling,78899373,8.554877508,95930888,10.4015655,181335457,19.66178644,166695789,18.07444092,68819225,7.461910249,3646929,0.395428122,3646929,0.395428122,1113719,0.120757989,1357041,0.147140834,1113719,0.120757989,1113719,0.120757989,1113719,0.120757989,922273556,7,14,25,12,2001,Male,Coloured,Western Cape
Some primary,274127786,10.65555013,622402349,24.19324041,216361351,8.410126003,84522537,3.285453631,296181795,11.5128058,25501818,0.991274558,5568595,0.216455413,1,3.89E-08,2289888,0.089009643,1144944,0.044504822,3383204,0.131507646,2289888,0.089009643,2572629125,7,14,25,12,2001,Male,Coloured,Western Cape
Complete primary,115616697,7.465450616,20413254,1.318098022,245244239,15.83559125,483135833,31.19641709,336364041,21.7192603,38602105,2.492564794,1144944,0.073929831,6843142,0.441866443,1,6.46E-08,1357041,0.087625082,16074872,1.037965676,1113719,0.071913611,1548690132,7,14,25,12,2001,Male,Coloured,Western Cape
Some secondary,472474386,59.22470508,1448623299,181.5850556,1965977332,246.4354283,5535996191,693.9376005,798505652,100.0927524,19360792,2.426876949,238424328,29.8865101,8175077,1.024746608,4434473,0.555861573,8014608,1.004631805,7869664,0.986463062,2289888,0.287037659,797765705,7,14,25,12,2001,Male,Coloured,Western Cape
Grade 12/Std 10,195799331,4.655309409,111210825,2.64413978,1310676678,31.16254504,4151546774,98.70684778,102282539,2.431861558,267024914,6.348763238,369845432,8.793415742,9371649,0.222819585,5568595,0.132398474,572472,0.013611049,572472,0.013611049,2289888,0.054444196,4205935928,7,14,25,12,2001,Male,Coloured,Western Cape
Higher,12516593,1.113949672,12661537,1.126849374,4341157,0.386353572,388235813,34.55214663,75203998,6.692992968,258971945,23.0479423,408063388,36.31675787,2289888,0.203795073,12230506,1.088488549,7796033,0.693830055,2289888,0.203795073,1,8.90E-08,1123622845,7,14,25,12,2001,Male,Coloured,Western Cape
No schooling,1206678,50,1206678,50,1,4.14E-05,1206678,50,1206678,50,1,4.14E-05,1206678,50,0,0,0,0,0,0,0,0,0,0,2413356,7,14,32,12,2001,Male,Indian or Asian,Eastern Cape
Some primary,1,1.95E-05,4826712,94.29330308,1206678,23.57332577,1,1.95E-05,1170042,22.85761506,12040761,235.2249577,1206678,23.57332577,0,0,1206678,23.57332577,0,0,0,0,0,0,5118828,7,14,32,12,2001,Male,Indian or Asian,Eastern Cape
Complete primary,1170042,16.28816828,2413356,33.59635693,1206678,16.79817846,1206678,16.79817846,1206678,16.79817846,1206678,16.79817846,2413356,33.59635693,1206678,16.79817846,0,0,1,1.39E-05,0,0,0,0,7183386,7,14,32,12,2001,Male,Indian or Asian,Eastern Cape
Some secondary,1206678,5.686779375,1206678,5.686779375,5813519,27.39769843,603339,2.843389688,7240068,34.12067625,3620034,17.06033813,986807,4.65058093,2193485,10.33736031,1206678,5.686779375,986807,4.65058093,1206678,5.686779375,0,0,21219005,7,14,32,12,2001,Male,Indian or Asian,Eastern Cape
Grade 12/Std 10,1206678,10.23894156,2413356,20.47788312,12990932,110.2310588,986807,8.373285336,14480136,122.8672987,8446746,71.67259091,5813519,49.32905157,2413356,20.47788312,2206678,18.72417255,1144952,9.715182191,1206678,10.23894156,1,8.49E-06,11785183,7,14,32,12,2001,Male,Indian or Asian,Eastern Cape
Higher,1206678,3.233390961,1,2.68E-06,2413356,6.466781923,5593648,14.98863067,1206678,3.233390961,10601386,28.40726828,10446746,27.99289793,4558308,12.21435369,1206678,3.233390961,3620034,9.700172884,2206678,5.912971563,2206678,5.912971563,37319273,7,14,32,12,2001,Male,Indian or Asian,Eastern Cape
No schooling,0,0,1145806,100,1145806,100,1145806,100,3437418,300,1145806,100,1145806,100,0,0,0,0,0,0,0,0,0,0,1145806,7,14,32,10,2001,Male,Indian or Asian,Free State
Some primary,1860664,162.3890955,1860664,162.3890955,103103,8.99829465,1145806,100,1145806,100,1145806,100,1145806,100,1145806,100,0,0,0,0,0,0,0,0,1145806,7,14,32,10,2001,Male,Indian or Asian,Free State
