educ,R1 - R400,r1,R401 - R800,r2,R801 - R1 600,r3,No income,r0,R1 601 - R3 200,r4,R3 201 - R6 400,r5,R6 401 - R12 800,r6,R12 801 - R25 600,r7,R25 601 - R51 200,r8,R51 201 - R102 400,r9,R102 401 - R204 800,r10,R204 801 or more,r11,Total,first,second,third,r_len,year,sex,color,state
Complete primary,108572,8.594173611,108572,8.594173611,33813,2.676516895,119654,9.471385341,358962,28.41415602,134439,10.64171339,119654,9.471385341,108572,8.594173611,11271,0.892172298,134439,10.64171339,0,0,0,0,1263321,7,14,22,10,2011,Male,White,Free State
Some secondary,785871,2.613734924,119654,0.397958238,770381,2.562216604,3717315,12.36344901,4363643,14.51307671,7653165,25.45372541,5775267,19.20800876,2273426,7.561206525,1045138,3.476033205,216394,0.719706612,1,3.33E-06,134439,0.447131793,30066974,7,14,22,10,2011,Male,White,Free State
Grade 12/Std 10,594594,1.208308368,568727,1.155742563,1755837,3.568136477,4546348,9.238892982,2705728,5.498464136,12300373,24.99628928,20122337,40.8917483,14396592,29.25613543,3584751,7.284776892,803166,1.632159421,358962,0.729467146,134439,0.273201157,49208796,7,14,22,10,2011,Male,White,Free State
Higher,108572,0.211923088,17808071,34.75980365,458962,0.895853852,868576,1.695384706,100168,0.195519212,4072517,7.9491985,12508381,24.41527033,4209274,8.216136253,12849705,25.08150505,5436763,10.61208788,810699,1.582413842,59827,0.116777094,51231794,7,14,22,10,2011,Male,White,Free State
No schooling,298878,8.499047093,121972,3.468457939,819156,23.29393739,1463664,41.62149527,587888,16.71748271,831832,23.65439859,587888,16.71748271,2569,0.073053393,365916,10.40537382,12845,0.365266965,121972,3.468457939,1649705,46.91185194,3516606,7,14,22,7,2011,Male,White,Gauteng
Some primary,243944,3.148878561,298878,3.85797776,853804,11.02107496,975776,12.59551424,60986,0.78721964,365916,4.723317842,2883384,37.21930468,1097748,14.16995353,731832,9.446635684,60986,0.78721964,343944,4.439698815,121972,1.574439281,7747012,7,14,22,7,2011,Male,White,Gauteng
Complete primary,60986,0.095407277,221972,0.34725583,60986,0.095407277,1152682,1.803270433,2569,0.004018976,60986,0.095407277,64225,0.10047441,60986,0.095407277,11054216,17.2933566,121972,0.190814554,124629,0.194971198,121972,0.190814554,63921749,7,14,22,7,2011,Male,White,Gauteng
Some secondary,4265034,2.404101304,3271272,1.843940583,6720572,3.788231445,34690518,19.55424495,13258644,7.473591848,34417036,19.40008946,42143192,23.75514541,29518168,16.63871055,17231014,9.712725205,3637188,2.050198994,2195496,1.237550462,975776,0.550022428,177406584,7,14,22,7,2011,Male,White,Gauteng
Grade 12/Std 10,1862542,213.4955978,2494374,285.9199246,7195234,824.7603458,31377538,3596.679287,6506731,745.8400533,45547156,5220.884843,68153684,7812.179004,13033468,1493.973313,69628374,7981.216708,249258,28.57142857,331125,37.95550909,2805356,321.5665237,872403,7,14,22,7,2011,Male,White,Gauteng
Higher,2128458,0.475030307,3537188,0.789431364,4590992,1.024619862,32609362,7.277773514,249258,0.055629524,2552176,0.5695959,73909462,16.49515023,43005418,9.597970425,17409354,3.885428222,112501022,25.10803364,34871888,7.782725183,13172976,2.939951288,448067832,7,14,22,7,2011,Male,White,Gauteng
No schooling,242837,66.17875898,242837,66.17875898,245116,66.79983976,743661,202.6650061,120522,32.84506229,120522,32.84506229,122558,33.39991988,15281,4.164429704,120522,32.84506229,120522,32.84506229,120522,32.84506229,120522,32.84506229,366941,7,14,22,13,2011,Male,White,KwaZulu-Natal
Some primary,535164,17.3383516,245116,7.941317784,996464,32.28364237,7595687,246.0866049,482088,15.61878461,245116,7.941317784,60261,1.952348076,361566,11.71408846,514376,16.66485777,120522,3.904696152,120522,3.904696152,120522,3.904696152,3086591,7,14,22,13,2011,Male,White,KwaZulu-Natal
Complete primary,120522,0.14066009,220522,0.257369147,120522,0.14066009,361566,0.42198027,122558,0.143036286,490232,0.572145145,241044,0.28132018,6373905,7.438924429,15281,0.017834311,120522,0.14066009,120522,0.14066009,120522,0.14066009,85683153,7,14,22,13,2011,Male,White,KwaZulu-Natal
Some secondary,120522,0.072724487,245116,0.14790607,2204578,1.330270025,20397509,12.30811285,6146636,3.708957282,9750916,5.883825055,10108129,6.099371861,382391458,230.7398035,4130036,2.49211554,386167,0.233018013,361566,0.218173461,120522,0.072724487,165724098,7,14,22,13,2011,Male,White,KwaZulu-Natal
Grade 12/Std 10,490232,0.643981468,1237508,1.6256226,888158,1.16670738,6464008,8.491288532,122558,0.160995367,10156649,13.34203751,20794862,27.31666997,209118,0.274702828,9421369,12.37615463,2330976,3.06203052,135803,0.178394342,723132,0.949924947,76125172,7,14,22,13,2011,Male,White,KwaZulu-Natal
Higher,122558,0.090051958,1116986,0.820727954,3867127,2.841449427,8347866,6.133762625,6238408,4.583795886,15363715,11.28879894,825945754,606.8802729,42557195,31.2697559,37963926,27.89475902,12928142,9.499212639,6695079,4.919344099,3109914,2.285071929,136096985,7,14,22,13,2011,Male,White,KwaZulu-Natal
No schooling,1,0.000353778,159222,56.32926842,123441,43.67073158,273723,96.83722312,159222,56.32926842,282663,100,159222,56.32926842,1,0.000353778,109766,38.83281505,282663,100,159222,56.32926842,159222,56.32926842,282663,7,14,22,7,2011,Male,White,Limpopo
Some primary,159222,34.52034836,123441,26.76279862,42821,9.283866785,319149,69.19354524,159222,34.52034836,159222,34.52034836,246882,53.52559725,1,0.000216806,144102,31.24223562,123441,26.76279862,159222,34.52034836,123441,26.76279862,461241,7,14,22,7,2011,Male,White,Limpopo
Complete primary,224669,37.83809729,123441,20.78957296,118286,19.92138291,123441,20.78957296,159222,26.81570456,303324,51.08494284,159222,26.81570456,144102,24.26923828,635086,106.9593306,159222,26.81570456,0,0,0,0,593764,7,14,22,7,2011,Male,White,Limpopo
Some secondary,137182,0.785226509,233207,1.334871328,2631906,15.06496742,1996404,11.42736907,2893836,16.56424851,2132185,12.20457628,3283653,18.79555176,60257,0.344909636,303324,1.73621937,123441,0.706573351,123441,0.706573351,144102,0.824836424,17470373,7,14,22,7,2011,Male,White,Limpopo
Grade 12/Std 10,595952,2.390297754,303324,1.216599115,2921912,11.71946682,3842875,15.41334786,2397085,9.614443599,3683374,14.77360693,11163322,44.77485352,13323843,53.440465,2608956,10.46423482,1,4.01E-06,370323,1.485324716,303324,1.216599115,24932124,7,14,22,7,2011,Male,White,Limpopo
Higher,159222,0.60077428,159222,0.60077428,246882,0.931531798,2172684,8.197941659,1238954,4.674804348,2519566,9.506792094,721149,2.721029579,9546004,36.0188522,790033,2.980941749,593764,2.240382233,879732,3.319392793,282663,1.066540179,26502799,7,14,22,7,2011,Male,White,Limpopo
No schooling,492549,50,157117,15.94937763,328366,33.33333333,485483,49.28271096,164183,16.66666667,164183,16.66666667,164183,16.66666667,328366,33.33333333,164183,16.66666667,164183,16.66666667,164183,16.66666667,164183,16.66666667,985098,7,14,22,10,2011,Male,White,Mpumalanga
Some primary,164183,5.678934712,164183,5.678934712,157117,5.434528454,164183,5.678934712,328366,11.35786942,328366,11.35786942,328366,11.35786942,3213,0.111134632,164183,5.678934712,164183,5.678934712,164183,5.678934712,164183,5.678934712,2891088,7,14,22,10,2011,Male,White,Mpumalanga
Complete primary,164183,16.66666667,3213,0.326160443,164183,16.66666667,164183,16.66666667,157117,15.94937763,164183,16.66666667,164183,16.66666667,649666,65.94937763,164183,16.66666667,164183,16.66666667,164183,16.66666667,164183,16.66666667,985098,7,14,22,10,2011,Male,White,Mpumalanga
Some secondary,485483,12.0485752,649666,16.12322091,1970196,48.8957485,4995528,123.9775539,1470581,36.49644945,5753958,142.8000479,7124539,176.8147266,7288722,180.8893723,196313,4.872038658,1477647,36.67181138,164183,4.074645709,492549,12.22393713,4029381,7,14,22,10,2011,Male,White,Mpumalanga
Grade 12/Std 10,164183,0.004929731,820915,0.024648653,105699772,3.173723271,747459,0.022443076,485483,0.01457703,11227801,0.337124032,23565498,0.707573611,18010951,0.540793733,4618684,0.138679816,1634764,0.049085144,820915,0.024648653,3213,9.65E-05,3330465922,7,14,22,10,2011,Male,White,Mpumalanga
Higher,328366,5.333479299,164183,2.66673965,649666,10.55218921,3912128,63.54267404,1413464,22.95816553,3134096,50.90550221,9708969,157.6977677,19031968,309.126424,3969143,64.46873923,11728729,190.5036859,1149281,18.66717755,1085098,17.62468624,6156694,7,14,22,10,2011,Male,White,Mpumalanga
No schooling,134509,8.661732707,390183,25.1259087,390183,25.1259087,524692,33.7876414,134509,8.661732707,115746,7.453485744,134509,8.661732707,134509,8.661732707,134509,8.661732707,134509,8.661732707,134509,8.661732707,255674,16.46417599,1552911,7,14,22,10,2011,Male,White,North West
Some primary,134509,73.2927208,1,0.000544891,269018,146.5854416,1210581,659.6344872,490183,267.0962223,524692,285.89986,255674,139.3144184,524692,285.89986,390183,212.6071392,1439567,784.4068591,134509,73.2927208,134509,73.2927208,183523,7,14,22,10,2011,Male,White,North West
Complete primary,1028219,91.77970065,115746,10.3315862,134509,12.00638751,672545,60.03193753,403527,36.01916252,134509,12.00638751,134509,12.00638751,134509,12.00638751,269018,24.01277501,255674,22.82167825,0,0,134509,12.00638751,1120312,7,14,22,10,2011,Male,White,North West
Some secondary,134509,0.365879725,1062728,2.890740609,956184,2.600928853,11032363,30.00927776,2976836,8.097331313,4954439,13.47663561,9118695,24.80388391,1715037,4.665095021,403527,1.097639176,255674,0.695462258,403527,1.097639176,914875,2.488563691,36763174,7,14,22,10,2011,Male,White,North West
Grade 12/Std 10,123604,0.197625491,519273,0.830244829,1566255,2.504222469,5882218,9.404843072,6000702,9.5942824,15159952,24.23864086,21001951,33.57917938,15012888,24.00350611,23026533,36.81620255,941563,1.505427418,255674,0.408786932,369018,0.590008119,62544563,7,14,22,10,2011,Male,White,North West
Higher,538036,1.358369625,134509,0.339592406,519018,1.310355229,524692,1.324680273,759201,1.916740846,4147299,10.47060975,13382951,33.78769104,10792771,27.24831108,10492875,26.49116914,134509,0.339592406,1076072,2.71673925,538036,1.358369625,39608954,7,14,22,10,2011,Male,White,North West
No schooling,139961,112.7235972,132653,106.8377858,132653,106.8377858,265306,213.6755716,132653,106.8377858,124163,100,124163,100,124163,100,248326,200,132653,106.8377858,124163,100,0,0,124163,7,14,22,13,2011,Male,White,Northern Cape
Some primary,139961,105.5091102,124163,93.5998432,139961,105.5091102,139961,105.5091102,272614,205.5091102,124163,93.5998432,124163,93.5998432,256816,193.5998432,272614,205.5091102,132653,100,124163,93.5998432,232653,175.3846502,132653,7,14,22,13,2011,Male,White,Northern Cape
Complete primary,124163,88.71256993,139961,100,124163,88.71256993,124163,88.71256993,139961,100,1626012,1161.760776,132653,94.77854545,1181841,844.4073706,132653,94.77854545,380979,272.2036853,0,0,124163,88.71256993,139961,7,14,22,13,2011,Male,White,Northern Cape
Some secondary,248326,2.773410923,372489,4.160116384,720815,8.050370055,125861,1.405669451,979727,10.94200995,1598446,17.85212823,3312556,36.99604146,832458,9.297246804,886121,9.896578128,139961,1.563144279,389469,4.349756283,248326,2.773410923,8953812,7,14,22,13,2011,Male,White,Northern Cape
Grade 12/Std 10,248326,1.398298511,232653,1.310045439,685189,3.858229741,1477686,8.320699943,1125957,6.34014963,5002056,28.16606984,256816,1.44610484,3289871,18.52492982,1631099,9.184552981,505142,2.844403351,132653,0.746955584,480979,2.70834395,17759155,7,14,22,13,2011,Male,White,Northern Cape
Higher,139961,3.513947858,139961,3.513947858,256816,6.447782119,1790261,44.94740539,372489,9.351940353,2840756,71.32178579,324991,8.159426043,6079937,152.6466773,232476,5.83668695,1118774,28.08863541,256816,6.447782119,279922,7.027895716,3983013,7,14,22,13,2011,Male,White,Northern Cape
No schooling,121178,7.141930982,192466,11.34346902,50646,2.984949715,698926,41.19296616,121178,7.141930982,126615,7.462374286,121178,7.141930982,192466,11.34346902,242356,14.28386196,121178,7.141930982,121178,7.141930982,192466,11.34346902,1696712,7,14,22,12,2011,Male,White,Western Cape
Some primary,121178,2.390901245,121178,2.390901245,1183288,23.34685135,484712,9.563604981,22859444,451.0280177,556,0.010970152,192466,3.797448374,434822,8.579250865,463534,9.145752677,363534,7.172703736,121178,2.390901245,121178,2.390901245,5068298,7,14,22,12,2011,Male,White,Western Cape
Complete primary,192466,6.634948881,192466,6.634948881,121178,4.177412299,242356,8.354824598,192466,6.634948881,484712,16.7096492,121178,4.177412299,313644,10.81236118,121178,4.177412299,126615,4.364843934,121178,4.177412299,121178,4.177412299,2900791,7,14,22,12,2011,Male,White,Western Cape
Some secondary,75969,0.104415867,1018007,1.3992034,4818848,6.623283046,297487714,408.8830635,5745696,7.897192629,13258952,18.22381449,15519198,21.33041777,2977996,4.093117363,633075,0.870132221,484712,0.66621416,60589,0.08327677,919534,1.263856829,72756184,7,14,22,12,2011,Male,White,Western Cape
Grade 12/Std 10,827068,0.365395713,1090602,0.481824101,288553,0.127481693,2850089,1.259159225,6572764,2.903823853,3970382,1.754100704,45697822,20.18913589,4497376,1.986924786,13395842,5.918235546,7919366,3.498747847,1888958,0.834534953,825541,0.36472109,226348578,7,14,22,12,2011,Male,White,Western Cape
Higher,969424,3.71765782,121178,0.464707228,2395068,9.184880176,18740674,71.868876,479723,1.839696523,21208003,81.33087091,36034422,138.188915,80108288,307.2084076,75225246,288.4823607,42420494,162.6789529,1247446,4.783848323,752079,2.884158403,26076203,7,14,22,12,2011,Male,White,Western Cape
No schooling,15467374,1252.147226,17157436,1388.964662,2304802,186.5831544,135890376,11000.88208,2626898,212.6581438,1390529,112.5690134,333,0.026957713,800079,64.76966942,11774,0.953153486,114297,9.252809917,119894,9.705909973,114297,9.252809917,1235268,7,16,32,12,2011,Female,Black African,Eastern Cape
Some primary,17675469,5.425222673,87357847,26.8131936,43860196,13.4622357,2913051,0.894117736,2130236,0.653844299,237634,0.072938227,936508,0.287447221,224243,0.068828058,1235512,0.379222057,119894,0.036799682,109946,0.033746292,114297,0.035081766,325801724,7,16,32,12,2011,Female,Black African,Eastern Cape
Complete primary,18519593,6.222800794,961844701,323.1911181,5217678,1.753201099,118488724,39.81360313,558432,0.187639712,822275,0.276294059,357528,0.120133608,224243,0.075348282,334189,0.11229143,119894,0.040285792,224243,0.075348282,114297,0.038405135,297608643,7,16,32,12,2011,Female,Black African,Eastern Cape
Some secondary,46181556,12.08320623,11713388,3.064757775,159173472,41.64705684,28054466,7.340330807,43586093,11.40411445,19468603,5.093876546,6612402,1.730106647,3444616,0.901269015,1341107,0.3508949,109308,0.02859997,119894,0.031369751,357528,0.093545669,382196208,7,16,32,12,2011,Female,Black African,Eastern Cape
Grade 12/Std 10,19856735,22.15835576,45172906,50.40895807,9883008,11.0285607,718167484,801.4112395,58487024,65.26633333,60266412,67.25197258,31671948,35.34308594,9596387,10.70871708,1603818,1.789718694,355374,0.396565877,539784,0.602351087,468254,0.522529949,89612854,7,16,32,12,2011,Female,Black African,Eastern Cape
Higher,12319334,3.560936681,4269319,1.234058159,22775114,6.583208058,66521283,19.22815606,10493423,3.033152188,52651666,15.2191059,92132904,26.63126411,6511444,1.88215043,11128639,3.216763084,1877784,0.542778524,1367885,0.395390844,1290529,0.373030884,345957682,7,16,32,12,2011,Female,Black African,Eastern Cape
No schooling,3473441,2.326109792,811738,0.543608402,1541311,1.032192172,21166224,14.17469331,5344934,3.57941975,56355,0.037740073,332358,0.222575019,22542,0.015096029,108572,0.072708992,108572,0.072708992,434152,0.290744889,22542,0.015096029,149324035,7,16,32,10,2011,Female,Black African,Free State
Some primary,690625,2.038523572,8340287,24.61809469,135107833,398.7989174,55545708,163.9547295,19633607,57.95268152,2349823,6.935992146,325716,0.961418634,217144,0.640945756,325716,0.961418634,108572,0.320472878,11271,0.033268705,134439,0.396824717,33878686,7,16,32,10,2011,Female,Black African,Free State
Complete primary,7430371,13.03897844,1818078,3.190403258,32702494,57.38705566,6187238,10.85750131,5657919,9.92864069,104008,0.182515526,529724,0.929571325,67626,0.118671592,108572,0.190524533,11271,0.019778599,108572,0.190524533,110786,0.194409709,56985837,7,16,32,10,2011,Female,Black African,Free State
Some secondary,73494269,6.604142729,54540653,4.900984279,97420804,8.754164143,9118495,0.819381474,40428237,3.632852617,17505762,1.57305532,6534662,0.587200079,2217801,0.19929002,330613,0.029708649,325716,0.029268608,22542,0.002025608,2966041,0.266526334,1112851009,7,16,32,10,2011,Female,Black African,Free State
Grade 12/Std 10,45758137,8.969895646,28529041,5.592503048,49512422,9.705842231,33190287,6.506239772,17955199,3.519729427,36635567,7.181612593,19369989,3.797068486,306267,0.060037038,977148,0.191548786,56355,0.011047182,55393,0.010858603,108572,0.021283198,510130093,7,16,32,10,2011,Female,Black African,Free State
Higher,108572,0.097866661,451401,0.406892278,5037142,4.540473293,508062,0.457966431,1506316,1.357791297,2644592,2.383831813,7863497,7.08814604,22851179,20.59802324,4742226,4.274636392,108572,0.097866661,110786,0.099862357,110786,0.099862357,110938699,7,16,32,10,2011,Female,Black African,Free State
No schooling,1615851,0.52073993,24711412,7.963741067,5683948,1.831764616,146623877,47.25244315,17580606,5.665697856,5807931,1.871720589,2049858,0.660607267,1488344,0.479648279,1124929,0.36253061,227762,0.073400807,238824,0.076965756,689424,0.222180514,310299039,7,16,32,7,2011,Female,Black African,Gauteng
Some primary,7748433,19.78449132,73611,0.187954931,246728064,629.9840548,122160044,311.91782,95611591,244.130225,888984,2.269890729,5110764,13.04958899,3076688,7.855873184,477648,1.219604365,227762,0.581556982,114488,0.292328377,119412,0.304901091,39164176,7,16,32,7,2011,Female,Black African,Gauteng
Complete primary,13248664,5.950575447,6794362,3.051655902,11215424,5.037355214,154910292,69.57723285,20847808,9.363695419,1694334,0.761002189,1480453,0.664938538,686928,0.308530497,1,4.49E-07,119412,0.053633341,114488,0.05142175,111123,0.049910376,222645089,7,16,32,7,2011,Female,Black African,Gauteng
Some secondary,170023812,8.451926547,84018739,4.176592692,3202597,0.159201904,1041533676,51.77490154,38535566,1.915612698,103767108,5.158289092,28855752,1.434426705,2563739,0.127444112,2000214,0.099431142,716472,0.035616004,457952,0.022764909,113881,0.005661053,2011657473,7,16,32,7,2011,Female,Black African,Gauteng
Grade 12/Std 10,150711824,3.029266031,23901129,0.480406091,393314236,7.905507497,46464737,0.933928379,189498388,3.808865253,16391498,0.329464582,33056085,0.664418177,1859795,0.037381366,897167,0.018032809,955296,0.019201186,2268828,0.045602816,113881,0.002288977,4975192752,7,16,32,7,2011,Female,Black African,Gauteng
Higher,113881,0.007176551,13308168,0.838653927,8085551,0.509535129,276806012,17.44375702,44918384,2.830666035,16861973,1.062607556,388068836,24.45531596,54145536,3.412142558,77483748,4.882869644,16712745,1.053203508,8897664,0.560712854,2049858,0.12917792,1586848588,7,16,32,7,2011,Female,Black African,Gauteng
No schooling,17473488,27.06903769,60458509,93.659243,95444384,147.8575787,362151228,561.0262381,3797001,5.882120569,35055,0.054305421,2462259,3.814406241,1369452,2.121485293,99782,0.154577193,11047,0.01711345,121423,0.188102328,125129,0.193843474,64551567,7,16,32,13,2011,Female,Black African,KwaZulu-Natal
Some primary,29012165,3.752102894,4043472,0.522936602,90053395,11.64648016,113976537,14.7404268,50563698,6.539332643,5972041,0.772355745,2165325,0.280038467,1501828,0.194229324,3366453,0.435378678,115922,0.014992031,380955,0.04926838,121423,0.015703467,773224131,7,16,32,13,2011,Female,Black African,KwaZulu-Natal
Complete primary,209317,0.068720632,30717103,10.08469801,108055424,35.4755564,153051199,50.24806938,3185647,1.045876233,4163604,1.366948211,129565,0.042537341,2200516,0.722448967,572736,0.188034321,11047,0.003626828,11047,0.003626828,118706,0.038972235,304591203,7,16,32,13,2011,Female,Black African,KwaZulu-Natal
Some secondary,33649247,52.56675459,22812259,35.63724385,29815676,46.57796126,552513006,863.1341913,62136598,97.06961045,38409024,60.00246421,14559414,22.74467369,10133825,15.83103158,4327835,6.760931095,11047,0.017257591,596327,0.931580284,347766,0.543279021,64012411,7,16,32,13,2011,Female,Black African,KwaZulu-Natal
Grade 12/Std 10,13139833,2.15047762,11429652,1.870587764,2883512,0.471918328,2160192727,353.5392051,67977977,11.12534065,3184614,0.521196969,36708124,6.007686638,22196045,3.632625927,4468524,0.731322906,237412,0.038855075,1371035,0.224384898,242846,0.039744408,611019286,7,16,32,13,2011,Female,Black African,KwaZulu-Natal
Higher,5555445,1.710458307,274233,0.084433221,3270873,1.007064581,15082552,4.643746155,6909626,2.127395229,82508295,25.40336527,4340166,1.33628773,237412,0.073096454,1853074,0.570540401,2287125,0.704179765,960431,0.295705777,991818,0.305369478,324792775,7,16,32,13,2011,Female,Black African,KwaZulu-Natal
No schooling,8586106,2.841531844,8301537,2.747355057,40968492,13.55833187,101077236,33.45104111,11282306,3.733826693,8113098,2.684992046,1276596,0.422483508,1304329,0.431661616,744681,0.246448713,106383,0.035206959,106383,0.035206959,123441,0.040852225,302164694,7,16,32,7,2011,Female,Black African,Limpopo
Some primary,6028687,3.050786873,34698876,17.55919248,8420539,4.261171602,271949044,137.6184522,21346858,10.80247061,3555745,1.799366955,589855,0.29849317,531915,0.269172923,124915,0.06321261,1040656,0.526618759,110983,0.056162391,124915,0.06321261,197610887,7,16,32,7,2011,Female,Black African,Limpopo
Complete primary,7404624,7.22269,4962366,4.840439067,9593199,9.357491007,62020755,60.49688505,2475058,2.414245027,3855151,3.760428697,625636,0.610263922,111211,0.10847851,284137,0.277155662,111211,0.10847851,217366,0.212025247,123441,0.120408015,102518923,7,16,32,7,2011,Female,Black African,Limpopo
Some secondary,14522805,0.995867319,159009524,10.90370548,78092294,5.354996055,439169567,30.11502388,65438962,4.487323466,17934653,1.2298268,2781189,0.190713518,2771891,0.19007593,1506585,0.103310536,233207,0.015991624,1396779,0.095780847,222422,0.015252067,1458307218,7,16,32,7,2011,Female,Black African,Limpopo
Grade 12/Std 10,1221387,1.642984693,5901331,7.938349188,116638115,156.8991954,4383031,5.895963229,1908489,2.567260183,2117242,2.848070429,21111379,28.39859319,4226157,5.684939548,2374964,3.194752767,685946,0.922720463,466414,0.627410528,123441,0.166050296,74339524,7,16,32,7,2011,Female,Black African,Limpopo
Higher,185161,0.214884374,955077,1.108392821,20050687,23.26936732,21202134,24.60565286,20079203,23.30246091,35181198,40.82873664,97056413,112.6366057,8394757,9.7423437,1695723,1.967932638,123441,0.143256636,846997,0.982963043,2277147,2.642690995,86167736,7,16,32,7,2011,Female,Black African,Limpopo
No schooling,9178678,26.55395022,13831871,40.0156552,3575088,10.34274313,183622442,531.2204203,6635658,19.19698373,4334637,12.54012126,719987,2.082925118,228191,0.660157427,687896,1.990085734,112434,0.325271988,114924,0.332475567,112434,0.325271988,34566149,7,16,32,10,2011,Female,Black African,Mpumalanga
Some primary,16319219,87.36356686,13768957,73.71095366,8038242,43.03205272,174863491,936.1169972,35366107,189.3294804,4215096,22.56516205,684564,3.664755818,922733,4.939773536,115757,0.619695367,114924,0.615235972,112434,0.601905966,157117,0.84111265,18679662,7,16,32,10,2011,Female,Black African,Mpumalanga
Complete primary,6820197,0.120397362,3959285,0.069893504,11795236,0.208222035,78901545,1.39285388,294266,0.005194696,1873534,0.033073612,454716,0.00802713,342282,0.006042325,224481,0.003962777,115599,0.002040676,231514,0.004086931,114924,0.002028761,5664739576,7,16,32,10,2011,Female,Black African,Mpumalanga
Some secondary,56676537,17.20375965,8668584,2.631287011,90757358,27.54875044,533696486,161.999772,59340109,18.01226798,17310762,5.254558669,5422452,1.645946733,6286389,1.908188664,80033,0.024293448,112434,0.034128541,578627,0.17563811,347271,0.105411642,329442739,7,16,32,10,2011,Female,Black African,Mpumalanga
Grade 12/Std 10,454716,0.045004461,28302238,2.801148337,139675365,13.82404516,834023658,82.54555638,2080961,0.205958287,6927804,0.685663326,13576194,1.343672301,7856799,0.777608451,459696,0.045497345,694384,0.068725045,269551,0.026678185,215757,0.021354048,1010379837,7,16,32,10,2011,Female,Black African,Mpumalanga
Higher,2545673,1.247646566,6215572,3.046281694,12876159,6.310667378,26136177,12.8094659,114177,0.055958696,9126569,4.472975307,1399813,0.686055075,26695433,13.08355995,96693,0.047389704,1350924,0.662094342,694542,0.340398371,578627,0.283587872,204037992,7,16,32,10,2011,Female,Black African,Mpumalanga
No schooling,650129,3.240903977,4362572,21.74749464,17998067,89.72066608,11796582,58.80615927,2171016,10.8225512,873698,4.355399194,433336,2.160187233,108644,0.541592164,22408,0.111704256,115746,0.576995753,115376,0.575151297,108334,0.540046808,20060113,7,16,32,10,2011,Female,Black African,North West
Some primary,12291998,7.434781451,11344125,6.861463053,9484806,5.736859029,20393367,12.33487239,3828634,2.315738828,436649,0.264105956,903732,0.546619834,650934,0.393715654,433646,0.2622896,108644,0.065713027,217204,0.131375247,546917,0.330801255,165330993,7,16,32,10,2011,Female,Black African,North West
Complete primary,1519466,0.62963748,7650501,3.17022044,34849982,14.44116213,47845746,19.82635672,6293292,2.60781914,2260826,0.936842802,556494,0.230600408,325622,0.134931493,217979,0.090326304,108644,0.045019984,108644,0.045019984,108334,0.044891526,241323944,7,16,32,10,2011,Female,Black African,North West
Some secondary,1896158,35.66133283,42758184,804.1596908,8027144,150.967722,166578532,3132.867869,48397286,910.2151425,868222,16.32878363,4962765,93.3354786,325622,6.124022639,672776,12.65300089,115376,2.169894037,325002,6.112362205,112735,2.120224347,5317126,7,16,32,10,2011,Female,Black African,North West
Grade 12/Std 10,3463766,2.642270959,29906699,22.81378195,18638432,14.2179892,79860117,60.91983925,24753125,18.88247166,36820842,28.08811031,433646,0.330798972,5997023,4.574720034,433956,0.33103545,108334,0.082640624,216668,0.165281247,115376,0.088012485,131090492,7,16,32,10,2011,Female,Black African,North West
Higher,2585922,1.556588971,169913,0.102278685,9300455,5.598384513,76847983,46.25844197,9286358,5.589898861,22862227,13.76185763,4714865,2.83810063,20149067,12.12867807,1075852,0.647606292,1191984,0.717511645,1307956,0.787320686,325002,0.195634102,166127478,7,16,32,10,2011,Female,Black African,North West
No schooling,153898,2.898788765,3192317,60.12977852,4310455,81.19077913,8989756,169.3290601,2217927,41.77638351,36399,0.685603531,124163,2.338706867,3058464,57.60855295,124163,2.338706867,139961,2.636274509,107174,2.018705812,124163,2.338706867,5309045,7,16,32,13,2011,Female,Black African,Northern Cape
Some primary,1229881,1.800345548,3811807,5.579864849,17766388,26.00709949,39407806,57.68661201,3341959,4.892083873,579663,0.848532257,231337,0.338639704,124163,0.181754417,124163,0.181754417,243577,0.356557071,132653,0.194182395,139961,0.204880117,68313608,7,16,32,13,2011,Female,Black African,Northern Cape
Complete primary,744978,3.955444137,1640942,8.712545085,9664522,51.3135648,1106697,5.875983129,272614,1.447437975,818174,4.344076672,107174,0.569037971,124163,0.659240689,975124,5.17739921,124163,0.659240689,124163,0.659240689,0,0,18834244,7,16,32,13,2011,Female,Black African,Northern Cape
Some secondary,2838751,8.299821703,4871142,14.24204169,26014208,76.05925569,64525454,188.6568295,4669062,13.65120862,2767938,8.092781609,559844,1.636848523,248326,0.726045195,231337,0.676373466,124163,0.363022598,124163,0.363022598,600268,1.755038527,34202554,7,16,32,13,2011,Female,Black African,Northern Cape
Grade 12/Std 10,124163,1.42108716,3462074,39.62459758,3555,0.040688167,13710405,156.9201816,16888086,193.289806,586837,6.716546201,2860989,32.74497824,2006784,22.96831565,124163,1.42108716,124163,1.42108716,1,1.14E-05,272614,3.120158623,8737184,7,16,32,13,2011,Female,Black African,Northern Cape
Higher,419883,2.214286539,387096,2.041381676,612575,3.230463193,11091566,58.49225925,479663,2.529541144,3229555,17.03131626,9599207,50.62218486,9552815,50.37753295,496652,2.619133993,124163,0.654783498,387096,2.041381676,248326,1.309566996,18962451,7,16,32,13,2011,Female,Black African,Northern Cape
